,Title,Links
1,Prenatal risk factors for autism: comprehensive meta-analysis,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/prenatal-risk-factors-for-autism-comprehensive-metaanalysis/0D63EE57942E9A0CC312EA30025A9DD2
2,Autism and attachment: a meta‐analytic review,https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2004.t01-1-00305.x
3,Effects of physical exercise on autism spectrum disorders: A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1750946711001516
4,Recognition of emotions in autism: a formal meta-analysis,https://link.springer.com/article/10.1007/s10803-012-1695-5
5,Perinatal and neonatal risk factors for autism: a comprehensive meta-analysis,https://publications.aap.org/pediatrics/article-abstract/128/2/344/30617
6,Enhanced visual functioning in autism: An ALE meta‐analysis,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21307
7,What is the male-to-female ratio in autism spectrum disorder? A systematic review and meta-analysis,https://www.sciencedirect.com/science/article/pii/S0890856717301521
8,Quality of life in autism across the lifespan: A meta-analysis,https://journals.sagepub.com/doi/pdf/10.1177/1362361313517053
9,Age at autism spectrum disorder diagnosis: A systematic review and meta-analysis from 2012 to 2019,https://journals.sagepub.com/doi/pdf/10.1177/1362361320971107
10,Meta-analysis of early intensive behavioral intervention for children with autism,https://www.tandfonline.com/doi/abs/10.1080/15374410902851739
11,Prenatal risk factors for autism: comprehensive meta-analysis,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/prenatal-risk-factors-for-autism-comprehensive-metaanalysis/0D63EE57942E9A0CC312EA30025A9DD2
12,Autism and attachment: a meta‐analytic review,https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2004.t01-1-00305.x
13,Effects of physical exercise on autism spectrum disorders: A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1750946711001516
14,Recognition of emotions in autism: a formal meta-analysis,https://link.springer.com/article/10.1007/s10803-012-1695-5
15,Perinatal and neonatal risk factors for autism: a comprehensive meta-analysis,https://publications.aap.org/pediatrics/article-abstract/128/2/344/30617
16,Enhanced visual functioning in autism: An ALE meta‐analysis,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21307
17,What is the male-to-female ratio in autism spectrum disorder? A systematic review and meta-analysis,https://www.sciencedirect.com/science/article/pii/S0890856717301521
18,Quality of life in autism across the lifespan: A meta-analysis,https://journals.sagepub.com/doi/pdf/10.1177/1362361313517053
19,Age at autism spectrum disorder diagnosis: A systematic review and meta-analysis from 2012 to 2019,https://journals.sagepub.com/doi/pdf/10.1177/1362361320971107
20,Meta-analysis of early intensive behavioral intervention for children with autism,https://www.tandfonline.com/doi/abs/10.1080/15374410902851739
21,Prenatal risk factors for autism: comprehensive meta-analysis,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/prenatal-risk-factors-for-autism-comprehensive-metaanalysis/0D63EE57942E9A0CC312EA30025A9DD2
22,Autism and attachment: a meta‐analytic review,https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2004.t01-1-00305.x
23,Effects of physical exercise on autism spectrum disorders: A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1750946711001516
24,Recognition of emotions in autism: a formal meta-analysis,https://link.springer.com/article/10.1007/s10803-012-1695-5
25,Perinatal and neonatal risk factors for autism: a comprehensive meta-analysis,https://publications.aap.org/pediatrics/article-abstract/128/2/344/30617
26,Enhanced visual functioning in autism: An ALE meta‐analysis,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21307
27,What is the male-to-female ratio in autism spectrum disorder? A systematic review and meta-analysis,https://www.sciencedirect.com/science/article/pii/S0890856717301521
28,Quality of life in autism across the lifespan: A meta-analysis,https://journals.sagepub.com/doi/pdf/10.1177/1362361313517053
29,Age at autism spectrum disorder diagnosis: A systematic review and meta-analysis from 2012 to 2019,https://journals.sagepub.com/doi/pdf/10.1177/1362361320971107
30,Meta-analysis of early intensive behavioral intervention for children with autism,https://www.tandfonline.com/doi/abs/10.1080/15374410902851739
31,Prenatal risk factors for autism: comprehensive meta-analysis,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/prenatal-risk-factors-for-autism-comprehensive-metaanalysis/0D63EE57942E9A0CC312EA30025A9DD2
32,Autism and attachment: a meta‐analytic review,https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2004.t01-1-00305.x
33,Effects of physical exercise on autism spectrum disorders: A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1750946711001516
34,Recognition of emotions in autism: a formal meta-analysis,https://link.springer.com/article/10.1007/s10803-012-1695-5
35,Perinatal and neonatal risk factors for autism: a comprehensive meta-analysis,https://publications.aap.org/pediatrics/article-abstract/128/2/344/30617
36,Enhanced visual functioning in autism: An ALE meta‐analysis,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21307
37,What is the male-to-female ratio in autism spectrum disorder? A systematic review and meta-analysis,https://www.sciencedirect.com/science/article/pii/S0890856717301521
38,Quality of life in autism across the lifespan: A meta-analysis,https://journals.sagepub.com/doi/pdf/10.1177/1362361313517053
39,Age at autism spectrum disorder diagnosis: A systematic review and meta-analysis from 2012 to 2019,https://journals.sagepub.com/doi/pdf/10.1177/1362361320971107
40,Meta-analysis of early intensive behavioral intervention for children with autism,https://www.tandfonline.com/doi/abs/10.1080/15374410902851739
41,Prenatal risk factors for autism: comprehensive meta-analysis,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/prenatal-risk-factors-for-autism-comprehensive-metaanalysis/0D63EE57942E9A0CC312EA30025A9DD2
42,Autism and attachment: a meta‐analytic review,https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2004.t01-1-00305.x
43,Effects of physical exercise on autism spectrum disorders: A meta-analysis,https://www.sciencedirect.com/science/article/pii/S1750946711001516
44,Recognition of emotions in autism: a formal meta-analysis,https://link.springer.com/article/10.1007/s10803-012-1695-5
45,Perinatal and neonatal risk factors for autism: a comprehensive meta-analysis,https://publications.aap.org/pediatrics/article-abstract/128/2/344/30617
